reference_dcp	iter	base_before_dcp	net_name	sink_cell	target_slice	split_name	buffer_name	sink_pin_cmd	resolved_sink_pin	baseline_ps	eco_total_ps	delta_total_ps	eco_seg1_ps	eco_seg2_ps	lut_delay_ps
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0096	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0096/base_before.dcp	f[92]_INST_0_i_2/O	f[92]_INST_0_i_1	SLICE_X45Y454				I0	2115.3	4500.0	2384.699	2489.6	1975.4	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0097	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0097/base_before.dcp	f[35]_INST_0_i_3_n_0	f[36]_INST_0_i_4	SLICE_X55Y375										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0098	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0098/base_before.dcp	f[37]_INST_0_i_3_n_0	f[37]_INST_0_i_1	SLICE_X55Y373										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0099	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0099/base_before.dcp	f[40]_INST_0_i_3_n_0	f[40]_INST_0_i_1	SLICE_X55Y370										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0100	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0100/base_before.dcp	f[40]_INST_0_i_3_n_0	f[41]_INST_0_i_4	SLICE_X55Y370										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0101	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0101/base_before.dcp	f[41]_INST_0_i_3_n_0	f[43]_INST_0_i_4	SLICE_X55Y370										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0102	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0102/base_before.dcp	f[48]_INST_0_i_3_n_0	f[48]_INST_0_i_1	SLICE_X54Y361										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0103	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0103/base_before.dcp	f[48]_INST_0_i_3_n_0	f[49]_INST_0_i_4	SLICE_X54Y361										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0104	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0104/base_before.dcp	f[35]_INST_0_i_3/O	f[36]_INST_0_i_4	SLICE_X55Y375				I4	1889.6	4543.6	2654.0	2736.2	1772.4	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0105	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0105/base_before.dcp	f[37]_INST_0_i_3/O	f[37]_INST_0_i_1	SLICE_X55Y373				I1	1804.2	3666.7	1862.5	1907.3	1724.4	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0106	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0106/base_before.dcp	f[40]_INST_0_i_3/O	f[40]_INST_0_i_1	SLICE_X55Y370				I1	1772.9	3488.3	1715.4	1729.5	1723.8	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0107	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0107/base_before.dcp	f[40]_INST_0_i_3/O	f[41]_INST_0_i_4	SLICE_X55Y370				I4	1738.9	3494.0	1755.1	1729.5	1729.5	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0108	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0108/base_before.dcp	f[41]_INST_0_i_3/O	f[43]_INST_0_i_4	SLICE_X55Y370				I4	1817.8	3698.6	1880.8	1893.3	1770.3	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0109	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0109/base_before.dcp	f[48]_INST_0_i_3/O	f[48]_INST_0_i_1	SLICE_X54Y361				I1	1728.7	4616.899	2888.199	2312.0	2269.9	
